food_liking,disease,beta,g_p,sig,yuanshi,category,postive,negative
Total caffeinated/sweet liking,T2D,0.178111255,Total caffeinated/sweet liking_T2DP,0.107190792,Total caffeinated/sweet,Coffee/Tea,>0.05,>0.05
Total chocolate/coffee liking,T2D,-0.195329408,Total chocolate/coffee liking_T2DP,0.030099472,Total chocolate/coffee,Coffee/Tea,<0.05,<0.05
Total sweetened coffee drink liking,T2D,0.283600629,Total sweetened coffee drink liking_T2DP,6.80E-05,sweet coffee house drinks,Coffee/Tea,<0.0001,<0.0001
Coffee with sugar liking,Stroke,0.034839461,Coffee with sugar liking_StrokeP,0.963241916,coffee with sugar,Coffee/Tea,>0.05,>0.05
Coffee without sugar liking,Stroke,-0.265709378,Coffee without sugar liking_StrokeP,0.005759713,coffee without sugar ,Coffee/Tea,<0.01,<0.01
Tea with sugar liking,Stroke,-0.053378035,Tea with sugar liking_StrokeP,0.698592188,tea with sugar,Coffee/Tea,>0.05,>0.05
Tea without sugar liking,Stroke,-0.182522215,Tea without sugar liking_StrokeP,0.054167878,tea without sugar,Coffee/Tea,>0.05,>0.05
Total caffeinated/sweet liking,Stroke,0.261516381,Total caffeinated/sweet liking_StrokeP,0.735433153,Total caffeinated/sweet,Coffee/Tea,>0.05,>0.05
Total chocolate/coffee liking,Stroke,-0.280270089,Total chocolate/coffee liking_StrokeP,0.179284462,Total chocolate/coffee,Coffee/Tea,>0.05,>0.05
Total sweetened coffee drink liking,Stroke,0.202845921,Total sweetened coffee drink liking_StrokeP,0.735433153,sweet coffee house drinks,Coffee/Tea,>0.05,>0.05
Coffee with sugar liking,MI,0.213766824,Coffee with sugar liking_MIP,0.010581044,coffee with sugar,Coffee/Tea,<0.05,<0.05
Coffee without sugar liking,MI,-0.246894751,Coffee without sugar liking_MIP,0.000103246,coffee without sugar ,Coffee/Tea,<0.001,<0.001
Tea with sugar liking,MI,0.163164348,Tea with sugar liking_MIP,0.120669977,tea with sugar,Coffee/Tea,>0.05,>0.05
Tea without sugar liking,MI,-0.152531975,Tea without sugar liking_MIP,0.01942802,tea without sugar,Coffee/Tea,<0.05,<0.05
Total caffeinated/sweet liking,MI,0.355125258,Total caffeinated/sweet liking_MIP,0.03116609,Total caffeinated/sweet,Coffee/Tea,<0.05,<0.05
Total chocolate/coffee liking,MI,-0.436748368,Total chocolate/coffee liking_MIP,0.00047445,Total chocolate/coffee,Coffee/Tea,<0.001,<0.001
Total sweetened coffee drink liking,MI,0.248396521,Total sweetened coffee drink liking_MIP,0.041720899,sweet coffee house drinks,Coffee/Tea,<0.05,<0.05
Coffee with sugar liking,IHD,0.099608935,Coffee with sugar liking_IHDP,0.061089893,coffee with sugar,Coffee/Tea,>0.05,>0.05
Coffee without sugar liking,IHD,-0.200146745,Coffee without sugar liking_IHDP,3.31E-07,coffee without sugar ,Coffee/Tea,<0.0001,<0.0001
Tea with sugar liking,IHD,0.152654536,Tea with sugar liking_IHDP,0.008341816,tea with sugar,Coffee/Tea,<0.01,<0.01
Tea without sugar liking,IHD,-0.067651632,Tea without sugar liking_IHDP,0.117129071,tea without sugar,Coffee/Tea,>0.05,>0.05
Total caffeinated/sweet liking,IHD,0.268629375,Total caffeinated/sweet liking_IHDP,0.008341816,Total caffeinated/sweet,Coffee/Tea,<0.01,<0.01
Total chocolate/coffee liking,IHD,-0.345916733,Total chocolate/coffee liking_IHDP,9.93E-06,Total chocolate/coffee,Coffee/Tea,<0.0001,<0.0001
Total sweetened coffee drink liking,IHD,0.188872243,Total sweetened coffee drink liking_IHDP,0.008341816,sweet coffee house drinks,Coffee/Tea,<0.01,<0.01
Coffee with sugar liking,HF,0.090895982,Coffee with sugar liking_HFP,0.61762104,coffee with sugar,Coffee/Tea,>0.05,>0.05
Coffee without sugar liking,HF,-0.272150356,Coffee without sugar liking_HFP,0.00072217,coffee without sugar ,Coffee/Tea,<0.001,<0.001
Tea with sugar liking,HF,0.235671903,Tea with sugar liking_HFP,0.051990494,tea with sugar,Coffee/Tea,>0.05,>0.05
Tea without sugar liking,HF,-0.186255015,Tea without sugar liking_HFP,0.024633128,tea without sugar,Coffee/Tea,<0.05,<0.05
Total caffeinated/sweet liking,HF,0.530200325,Total caffeinated/sweet liking_HFP,0.001903403,Total caffeinated/sweet,Coffee/Tea,<0.01,<0.01
Total chocolate/coffee liking,HF,-0.602400923,Total chocolate/coffee liking_HFP,6.19E-05,Total chocolate/coffee,Coffee/Tea,<0.0001,<0.0001
Total sweetened coffee drink liking,HF,0.194635184,Total sweetened coffee drink liking_HFP,0.39931847,sweet coffee house drinks,Coffee/Tea,>0.05,>0.05
Coffee with sugar liking,CVD,0.090218382,Coffee with sugar liking_CVDP,0.075310175,coffee with sugar,Coffee/Tea,>0.05,>0.05
Coffee without sugar liking,CVD,-0.220468703,Coffee without sugar liking_CVDP,5.32E-10,coffee without sugar ,Coffee/Tea,<0.0001,<0.0001
Tea with sugar liking,CVD,0.118648446,Tea with sugar liking_CVDP,0.024532819,tea with sugar,Coffee/Tea,<0.05,<0.05
Tea without sugar liking,CVD,-0.080918306,Tea without sugar liking_CVDP,0.030427854,tea without sugar,Coffee/Tea,<0.05,<0.05
Total caffeinated/sweet liking,CVD,0.24354465,Total caffeinated/sweet liking_CVDP,0.010579654,Total caffeinated/sweet,Coffee/Tea,<0.05,<0.05
Total chocolate/coffee liking,CVD,-0.359461679,Total chocolate/coffee liking_CVDP,4.89E-07,Total chocolate/coffee,Coffee/Tea,<0.0001,<0.0001
Total sweetened coffee drink liking,CVD,0.188368643,Total sweetened coffee drink liking_CVDP,0.008254389,sweet coffee house drinks,Coffee/Tea,<0.01,<0.01
Blue cheese liking,T2D,-0.196328143,Blue cheese liking_T2DP,1.90E-05,blue cheese,Dairy/Cheese,<0.0001,<0.0001
Goat cheese liking,T2D,-0.309574325,Goat cheese liking_T2DP,2.47E-08,goat's cheese,Dairy/Cheese,<0.0001,<0.0001
Hard cheese liking,T2D,-0.079904344,Hard cheese liking_T2DP,0.375339296,hard cheese,Dairy/Cheese,>0.05,>0.05
Milk chocolate liking,T2D,-0.283855937,Milk chocolate liking_T2DP,4.35E-05,milk chocolate,Dairy/Cheese,<0.0001,<0.0001
Plain yoghurt liking,T2D,-0.261754414,Plain yoghurt liking_T2DP,1.39E-05,plain yogurt,Dairy/Cheese,<0.0001,<0.0001
Soft cheese liking,T2D,-0.051169336,Soft cheese liking_T2DP,0.508600793,soft cheese,Dairy/Cheese,>0.05,>0.05
Total cheese liking,T2D,-0.196353598,Total cheese liking_T2DP,0.05198939,Total cheese,Dairy/Cheese,>0.05,>0.05
Total fatty/dairy food liking,T2D,0.478804653,Total fatty/dairy food liking_T2DP,0.018871381,Total fatty/dairy food,Dairy/Cheese,<0.05,<0.05
Whole milk liking,T2D,-0.024643727,Whole milk liking_T2DP,0.674389068,whole milk,Dairy/Cheese,>0.05,>0.05
Blue cheese liking,Stroke,-0.163935978,Blue cheese liking_StrokeP,0.110241336,blue cheese,Dairy/Cheese,>0.05,>0.05
Goat cheese liking,Stroke,-0.155824979,Goat cheese liking_StrokeP,0.203187567,goat's cheese,Dairy/Cheese,>0.05,>0.05
Hard cheese liking,Stroke,-0.379646956,Hard cheese liking_StrokeP,0.020823169,hard cheese,Dairy/Cheese,<0.05,<0.05
Milk chocolate liking,Stroke,-0.172416868,Milk chocolate liking_StrokeP,0.250693965,milk chocolate,Dairy/Cheese,>0.05,>0.05
Plain yoghurt liking,Stroke,-0.406012031,Plain yoghurt liking_StrokeP,0.001520574,plain yogurt,Dairy/Cheese,<0.01,<0.01
Soft cheese liking,Stroke,-0.112330849,Soft cheese liking_StrokeP,0.470971971,soft cheese,Dairy/Cheese,>0.05,>0.05
Total cheese liking,Stroke,-0.557066672,Total cheese liking_StrokeP,0.004837575,Total cheese,Dairy/Cheese,<0.01,<0.01
Total fatty/dairy food liking,Stroke,-0.03510956,Total fatty/dairy food liking_StrokeP,0.906605461,Total fatty/dairy food,Dairy/Cheese,>0.05,>0.05
Whole milk liking,Stroke,0.102106018,Whole milk liking_StrokeP,0.920226924,whole milk,Dairy/Cheese,>0.05,>0.05
Blue cheese liking,MI,-0.132006007,Blue cheese liking_MIP,0.05454608,blue cheese,Dairy/Cheese,>0.05,>0.05
Goat cheese liking,MI,-0.277454325,Goat cheese liking_MIP,0.000601722,goat's cheese,Dairy/Cheese,<0.001,<0.001
Hard cheese liking,MI,-0.35490064,Hard cheese liking_MIP,0.001253945,hard cheese,Dairy/Cheese,<0.01,<0.01
Milk chocolate liking,MI,-0.104647691,Milk chocolate liking_MIP,0.317171875,milk chocolate,Dairy/Cheese,>0.05,>0.05
Plain yoghurt liking,MI,-0.271691683,Plain yoghurt liking_MIP,0.001460672,plain yogurt,Dairy/Cheese,<0.01,<0.01
Soft cheese liking,MI,-0.238462422,Soft cheese liking_MIP,0.020649985,soft cheese,Dairy/Cheese,<0.05,<0.05
Total cheese liking,MI,-0.296473041,Total cheese liking_MIP,0.027136997,Total cheese,Dairy/Cheese,<0.05,<0.05
Total fatty/dairy food liking,MI,-0.178917066,Total fatty/dairy food liking_MIP,0.442038895,Total fatty/dairy food,Dairy/Cheese,>0.05,>0.05
Whole milk liking,MI,-0.208212208,Whole milk liking_MIP,0.007750063,whole milk,Dairy/Cheese,<0.01,<0.01
Blue cheese liking,IHD,-0.129562067,Blue cheese liking_IHDP,0.002205814,blue cheese,Dairy/Cheese,<0.01,<0.01
Goat cheese liking,IHD,-0.20277668,Goat cheese liking_IHDP,3.60E-05,goat's cheese,Dairy/Cheese,<0.0001,<0.0001
Hard cheese liking,IHD,-0.250866709,Hard cheese liking_IHDP,0.000528885,hard cheese,Dairy/Cheese,<0.001,<0.001
Milk chocolate liking,IHD,0.032888998,Milk chocolate liking_IHDP,0.710144546,milk chocolate,Dairy/Cheese,>0.05,>0.05
Plain yoghurt liking,IHD,-0.156353781,Plain yoghurt liking_IHDP,0.005801555,plain yogurt,Dairy/Cheese,<0.01,<0.01
Soft cheese liking,IHD,-0.133254424,Soft cheese liking_IHDP,0.054141367,soft cheese,Dairy/Cheese,>0.05,>0.05
Total cheese liking,IHD,-0.201987645,Total cheese liking_IHDP,0.020572692,Total cheese,Dairy/Cheese,<0.05,<0.05
Total fatty/dairy food liking,IHD,-0.088908255,Total fatty/dairy food liking_IHDP,0.555655355,Total fatty/dairy food,Dairy/Cheese,>0.05,>0.05
Whole milk liking,IHD,-0.132745798,Whole milk liking_IHDP,0.008520639,whole milk,Dairy/Cheese,<0.01,<0.01
Blue cheese liking,HF,-0.111134835,Blue cheese liking_HFP,0.217053303,blue cheese,Dairy/Cheese,>0.05,>0.05
Goat cheese liking,HF,-0.200067965,Goat cheese liking_HFP,0.05852224,goat's cheese,Dairy/Cheese,>0.05,>0.05
Hard cheese liking,HF,-0.297394119,Hard cheese liking_HFP,0.053731851,hard cheese,Dairy/Cheese,>0.05,>0.05
Milk chocolate liking,HF,-0.042037389,Milk chocolate liking_HFP,0.779898659,milk chocolate,Dairy/Cheese,>0.05,>0.05
Plain yoghurt liking,HF,-0.272569132,Plain yoghurt liking_HFP,0.014304623,plain yogurt,Dairy/Cheese,<0.05,<0.05
Soft cheese liking,HF,-0.301925454,Soft cheese liking_HFP,0.024313492,soft cheese,Dairy/Cheese,<0.05,<0.05
Total cheese liking,HF,-0.138891148,Total cheese liking_HFP,0.482741891,Total cheese,Dairy/Cheese,>0.05,>0.05
Total fatty/dairy food liking,HF,0.049918345,Total fatty/dairy food liking_HFP,0.956885593,Total fatty/dairy food,Dairy/Cheese,>0.05,>0.05
Whole milk liking,HF,0.00048205,Whole milk liking_HFP,0.995275224,whole milk,Dairy/Cheese,>0.05,>0.05
Blue cheese liking,CVD,-0.143900706,Blue cheese liking_CVDP,0.000142415,blue cheese,Dairy/Cheese,<0.001,<0.001
Goat cheese liking,CVD,-0.178633013,Goat cheese liking_CVDP,7.49E-05,goat's cheese,Dairy/Cheese,<0.0001,<0.0001
Hard cheese liking,CVD,-0.266893106,Hard cheese liking_CVDP,4.19E-05,hard cheese,Dairy/Cheese,<0.0001,<0.0001
Milk chocolate liking,CVD,0.012273622,Milk chocolate liking_CVDP,0.895774146,milk chocolate,Dairy/Cheese,>0.05,>0.05
Plain yoghurt liking,CVD,-0.189597013,Plain yoghurt liking_CVDP,0.000156176,plain yogurt,Dairy/Cheese,<0.001,<0.001
Soft cheese liking,CVD,-0.130406118,Soft cheese liking_CVDP,0.03254491,soft cheese,Dairy/Cheese,<0.05,<0.05
Total cheese liking,CVD,-0.245086942,Total cheese liking_CVDP,0.001442209,Total cheese,Dairy/Cheese,<0.01,<0.01
Total fatty/dairy food liking,CVD,-0.11172486,Total fatty/dairy food liking_CVDP,0.387665378,Total fatty/dairy food,Dairy/Cheese,>0.05,>0.05
Whole milk liking,CVD,-0.113376956,Whole milk liking_CVDP,0.013604382,whole milk,Dairy/Cheese,<0.05,<0.05
Biscuits liking,T2D,-0.240134327,Biscuits liking_T2DP,0.029893948,biscuits,Dessert/Processed products,<0.05,<0.05
Cake icing liking,T2D,-0.478227193,Cake icing liking_T2DP,3.40E-07,cake,Dessert/Processed products,<0.0001,<0.0001
Cake liking,T2D,-0.334508277,Cake liking_T2DP,3.22E-08,cake icing,Dessert/Processed products,<0.0001,<0.0001
Cheesecake liking,T2D,-0.28498911,Cheesecake liking_T2DP,4.35E-05,cheesecake,Dessert/Processed products,<0.0001,<0.0001
Cream liking,T2D,0.208048847,Cream liking_T2DP,0.006275151,cream,Dessert/Processed products,<0.01,<0.01
Dark chocolate liking,T2D,-0.108543787,Dark chocolate liking_T2DP,0.106150602,dark chocolate,Dessert/Processed products,>0.05,>0.05
Honey liking,T2D,-0.654769249,Honey liking_T2DP,1.85E-27,honey,Dessert/Processed products,<0.0001,<0.0001
Ice cream liking,T2D,-0.24294602,Ice cream liking_T2DP,0.034918222,ice cream,Dessert/Processed products,<0.05,<0.05
Jam liking,T2D,-0.549405332,Jam liking_T2DP,1.17E-12,jam,Dessert/Processed products,<0.0001,<0.0001
Marzipan liking,T2D,-0.255588922,Marzipan liking_T2DP,7.04E-07,marzipan,Dessert/Processed products,<0.0001,<0.0001
Milky sweets liking,T2D,-0.450948546,Milky sweets liking_T2DP,0.000987381,Milky sweets,Dessert/Processed products,<0.001,<0.001
Total cake/biscuits liking,T2D,-0.373522397,Total cake/biscuits liking_T2DP,0.002327622,Total cake/biscuits,Dessert/Processed products,<0.01,<0.01
Total sweet food liking,T2D,-0.453733104,Total sweet food liking_T2DP,2.30E-10,sweet foods,Dessert/Processed products,<0.0001,<0.0001
Biscuits liking,Stroke,-0.167827264,Biscuits liking_StrokeP,0.470971971,biscuits,Dessert/Processed products,>0.05,>0.05
Cake icing liking,Stroke,0.137127629,Cake icing liking_StrokeP,0.963241916,cake,Dessert/Processed products,>0.05,>0.05
Cake liking,Stroke,-0.131323986,Cake liking_StrokeP,0.344633915,cake icing,Dessert/Processed products,>0.05,>0.05
Cheesecake liking,Stroke,-0.098173395,Cheesecake liking_StrokeP,0.515408202,cheesecake,Dessert/Processed products,>0.05,>0.05
Cream liking,Stroke,-0.149473398,Cream liking_StrokeP,0.291569404,cream,Dessert/Processed products,>0.05,>0.05
Dark chocolate liking,Stroke,-0.186469167,Dark chocolate liking_StrokeP,0.203187567,dark chocolate,Dessert/Processed products,>0.05,>0.05
Honey liking,Stroke,0.110732687,Honey liking_StrokeP,0.963241916,honey,Dessert/Processed products,>0.05,>0.05
Ice cream liking,Stroke,-0.050172763,Ice cream liking_StrokeP,0.841068817,ice cream,Dessert/Processed products,>0.05,>0.05
Jam liking,Stroke,-0.186875139,Jam liking_StrokeP,0.32855272,jam,Dessert/Processed products,>0.05,>0.05
Marzipan liking,Stroke,-0.003909742,Marzipan liking_StrokeP,0.978261904,marzipan,Dessert/Processed products,>0.05,>0.05
Milky sweets liking,Stroke,-0.264741257,Milky sweets liking_StrokeP,0.336068584,Milky sweets,Dessert/Processed products,>0.05,>0.05
Total cake/biscuits liking,Stroke,-0.14750788,Total cake/biscuits liking_StrokeP,0.613480165,Total cake/biscuits,Dessert/Processed products,>0.05,>0.05
Total sweet food liking,Stroke,-0.261892724,Total sweet food liking_StrokeP,0.123089003,sweet foods,Dessert/Processed products,>0.05,>0.05
Biscuits liking,MI,0.170593828,Biscuits liking_MIP,0.860353851,biscuits,Dessert/Processed products,>0.05,>0.05
Cake icing liking,MI,0.01215139,Cake icing liking_MIP,0.930580329,cake,Dessert/Processed products,>0.05,>0.05
Cake liking,MI,0.032827284,Cake liking_MIP,0.903313156,cake icing,Dessert/Processed products,>0.05,>0.05
Cheesecake liking,MI,-0.243097395,Cheesecake liking_MIP,0.015526119,cheesecake,Dessert/Processed products,<0.05,<0.05
Cream liking,MI,-0.277651394,Cream liking_MIP,0.003757373,cream,Dessert/Processed products,<0.01,<0.01
Dark chocolate liking,MI,-0.218665484,Dark chocolate liking_MIP,0.023857457,dark chocolate,Dessert/Processed products,<0.05,<0.05
Honey liking,MI,-0.067582476,Honey liking_MIP,0.541194867,honey,Dessert/Processed products,>0.05,>0.05
Ice cream liking,MI,-0.160192478,Ice cream liking_MIP,0.349584155,ice cream,Dessert/Processed products,>0.05,>0.05
Jam liking,MI,0.046223098,Jam liking_MIP,0.903313156,jam,Dessert/Processed products,>0.05,>0.05
Marzipan liking,MI,-0.110650529,Marzipan liking_MIP,0.146809517,marzipan,Dessert/Processed products,>0.05,>0.05
Milky sweets liking,MI,-0.293364563,Milky sweets liking_MIP,0.133504111,Milky sweets,Dessert/Processed products,>0.05,>0.05
Total cake/biscuits liking,MI,0.141444049,Total cake/biscuits liking_MIP,0.903313156,Total cake/biscuits,Dessert/Processed products,>0.05,>0.05
Total sweet food liking,MI,0.14123091,Total sweet food liking_MIP,0.74105587,sweet foods,Dessert/Processed products,>0.05,>0.05
Biscuits liking,IHD,0.119381251,Biscuits liking_IHDP,0.399415531,biscuits,Dessert/Processed products,>0.05,>0.05
Cake icing liking,IHD,-0.04377674,Cake icing liking_IHDP,0.699708322,cake,Dessert/Processed products,>0.05,>0.05
Cake liking,IHD,0.047623686,Cake liking_IHDP,0.540899876,cake icing,Dessert/Processed products,>0.05,>0.05
Cheesecake liking,IHD,-0.10421678,Cheesecake liking_IHDP,0.131028203,cheesecake,Dessert/Processed products,>0.05,>0.05
Cream liking,IHD,-0.094568619,Cream liking_IHDP,0.149146133,cream,Dessert/Processed products,>0.05,>0.05
