food_liking,disease,beta,g_p,sig,yuanshi,category,postive,negative
Ham liking,Stroke,0.171948987,Ham liking_StrokeP,0.735433153,ham,Processed products,>0.05,>0.05
Pizza liking,Stroke,-0.207513904,Pizza liking_StrokeP,0.20729708,pizza,Processed products,>0.05,>0.05
Sausages liking,Stroke,0.186945659,Sausages liking_StrokeP,0.735433153,sausages (meat),Processed products,>0.05,>0.05
Savoury biscuit liking,Stroke,-0.477158877,Savoury biscuit liking_StrokeP,0.024987327,savoury biscuits,Processed products,<0.05,<0.05
Smoked fish liking,Stroke,-0.216146875,Smoked fish liking_StrokeP,0.092594472,smoked fish,Processed products,>0.05,>0.05
Tinned tuna liking,Stroke,0.03274864,Tinned tuna liking_StrokeP,0.963241916,tinned tuna,Processed products,>0.05,>0.05
Bacon liking,MI,-0.074650988,Bacon liking_MIP,0.486570913,bacon,Processed products,>0.05,>0.05
BBQ/grilled meat liking,MI,0.017987392,BBQ/grilled meat liking_MIP,0.930580329,barbequed or grilled meat,Processed products,>0.05,>0.05
Burger liking,MI,-0.100126236,Burger liking_MIP,0.361175023,burgers (meat),Processed products,>0.05,>0.05
Chips liking,MI,-0.227250698,Chips liking_MIP,0.215273031,chips/french fries,Processed products,>0.05,>0.05
Corn flake liking,MI,0.169412025,Corn flake liking_MIP,0.331639497,corn flakes,Processed products,>0.05,>0.05
Gherkins liking,MI,-0.014722121,Gherkins liking_MIP,0.881884677,gherkins,Processed products,>0.05,>0.05
Ham liking,MI,0.031186915,Ham liking_MIP,0.903313156,ham,Processed products,>0.05,>0.05
Pizza liking,MI,-0.209591398,Pizza liking_MIP,0.067297137,pizza,Processed products,>0.05,>0.05
Sausages liking,MI,-0.10524712,Sausages liking_MIP,0.318202905,sausages (meat),Processed products,>0.05,>0.05
Savoury biscuit liking,MI,0.017781734,Savoury biscuit liking_MIP,0.930580329,savoury biscuits,Processed products,>0.05,>0.05
Smoked fish liking,MI,-0.012945129,Smoked fish liking_MIP,0.896735323,smoked fish,Processed products,>0.05,>0.05
Tinned tuna liking,MI,-0.004815162,Tinned tuna liking_MIP,0.959913705,tinned tuna,Processed products,>0.05,>0.05
Bacon liking,IHD,0.016584851,Bacon liking_IHDP,0.842505644,bacon,Processed products,>0.05,>0.05
BBQ/grilled meat liking,IHD,0.062480811,BBQ/grilled meat liking_IHDP,0.433389738,barbequed or grilled meat,Processed products,>0.05,>0.05
Burger liking,IHD,-0.022009157,Burger liking_IHDP,0.780030127,burgers (meat),Processed products,>0.05,>0.05
Chips liking,IHD,-0.168095169,Chips liking_IHDP,0.151509855,chips/french fries,Processed products,>0.05,>0.05
Corn flake liking,IHD,0.170810801,Corn flake liking_IHDP,0.01768138,corn flakes,Processed products,<0.05,<0.05
Gherkins liking,IHD,-0.014745638,Gherkins liking_IHDP,0.814689974,gherkins,Processed products,>0.05,>0.05
Ham liking,IHD,0.020087411,Ham liking_IHDP,0.842505644,ham,Processed products,>0.05,>0.05
Pizza liking,IHD,-0.152278586,Pizza liking_IHDP,0.041081532,pizza,Processed products,<0.05,<0.05
Sausages liking,IHD,-0.024630627,Sausages liking_IHDP,0.743112231,sausages (meat),Processed products,>0.05,>0.05
Savoury biscuit liking,IHD,-0.020193002,Savoury biscuit liking_IHDP,0.879776803,savoury biscuits,Processed products,>0.05,>0.05
Smoked fish liking,IHD,-0.065557586,Smoked fish liking_IHDP,0.259622625,smoked fish,Processed products,>0.05,>0.05
Tinned tuna liking,IHD,-0.074063132,Tinned tuna liking_IHDP,0.197876079,tinned tuna,Processed products,>0.05,>0.05
Bacon liking,HF,0.085336612,Bacon liking_HFP,0.895782667,bacon,Processed products,>0.05,>0.05
BBQ/grilled meat liking,HF,0.127714384,BBQ/grilled meat liking_HFP,0.609982826,barbequed or grilled meat,Processed products,>0.05,>0.05
Burger liking,HF,0.164658315,Burger liking_HFP,0.406647777,burgers (meat),Processed products,>0.05,>0.05
Chips liking,HF,-0.306806881,Chips liking_HFP,0.155204681,chips/french fries,Processed products,>0.05,>0.05
Corn flake liking,HF,0.274056074,Corn flake liking_HFP,0.086582639,corn flakes,Processed products,>0.05,>0.05
